Designator,Mid X,Mid Y,Rotation,Layer
D1,293.11,-46.8475,270.0,top
D10,85.12481,-34.523013,263.641,top
D11,64.51,-37.3225,270.0,top
D12,45.46,-46.8475,270.0,top
D13,293.11,-65.8975,270.0,top
D14,274.06,-56.3725,270.0,top
D15,253.150991,-51.996817,277.153,top
D16,232.452947,-54.984033,284.306,top
D17,212.287928,-60.5253,291.459,top
D18,192.969786,-68.534149,298.611,top
D19,143.802816,-75.582854,241.39,top
D2,274.06,-37.3225,270.0,top
D20,125.261777,-65.910172,248.542,top
D21,105.660597,-58.621223,255.695,top
D22,85.304377,-53.829614,262.848,top
D23,64.51,-56.3725,270.0,top
D24,45.46,-65.8975,270.0,top
D25,293.11,-84.9475,270.0,top
D26,274.06,-75.4225,270.0,top
D27,252.890721,-71.12062,278.172,top
D28,232.001898,-74.585458,286.343,top
D29,211.817611,-80.984084,294.514,top
D3,253.35459,-32.892532,276.36,top
D30,192.747693,-90.186578,302.685,top
D31,143.491494,-98.135715,237.316,top
D32,125.425564,-87.091517,245.487,top
D33,105.97335,-78.727346,253.65800000000002,top
D34,85.529811,-73.212868,261.829,top
D35,64.51,-75.4225,270.0,top
D36,45.46,-84.9475,270.0,top
D37,231.423066,-94.395357,289.055,top
D38,211.273119,-101.954014,298.582,top
D39,192.651914,-112.743584,308.11,top
D4,232.813387,-35.516494,282.72,top
D40,142.78019,-121.828229,231.891,top
D41,125.503049,-108.996177,241.41899999999998,top
D42,106.340319,-99.200941,250.946,top
D5,212.689373,-40.39974,289.079,top
D6,193.229978,-47.481969,295.43899999999996,top
D7,143.912857,-53.804821,244.562,top
D8,125.072113,-45.211315,250.922,top
D9,105.395362,-38.757514,257.281,top
J1,161.925,-110.49,0.0,top
SW1,286.385,-48.5775,180.0,top
SW10,78.249541,-35.497465,173.641,top
SW11,57.785,-39.0525,180.0,top
SW12,38.735,-48.5775,180.0,top
SW13,286.385,-67.6275,180.0,top
SW14,267.335,-58.1025,180.0,top
SW15,246.693838,-54.550703,187.151,top
SW16,226.36399,-58.322089,194.305,top
SW17,206.661941,-64.595471,201.457,top
SW18,187.8944,-73.273188,208.61,top
SW19,137.070531,-73.881321,151.39,top
SW2,267.335,-39.0525,180.0,top
SW20,118.37003,-65.060062,158.542,top
SW21,98.716631,-58.635885,165.695,top
SW22,78.41628,-54.70882,172.848,top
SW23,57.785,-58.1025,180.0,top
SW24,38.735,-67.6275,180.0,top
SW25,286.385,-86.6775,180.0,top
SW26,267.335,-77.1525,180.0,top
SW27,246.479939,-73.788935,188.171,top
SW28,226.035439,-78.137836,196.342,top
SW29,206.416614,-85.3484,204.513,top
SW3,246.862575,-35.356799,186.36,top
SW30,188.021816,-95.274221,212.684,top
SW31,136.897094,-95.960028,147.316,top
SW32,118.588917,-85.875323,155.487,top
SW33,99.033252,-78.495176,163.658,top
SW34,78.627168,-73.969438,171.829,top
SW35,57.785,-77.1525,180.0,top
SW36,38.735,-86.6775,180.0,top
SW37,225.631439,-98.226053,199.054,top
SW38,206.195335,-106.690483,208.581,top
SW39,188.428266,-118.255203,218.109,top
SW4,226.634374,-38.684745,192.719,top
SW40,136.421019,-119.038995,141.891,top
SW41,118.769904,-107.298052,151.419,top
SW42,99.418979,-98.640656,160.946,top
SW5,206.899218,-44.232884,199.079,top
SW6,187.90014,-51.932908,205.438,top
SW7,137.096734,-52.478416,154.562,top
SW8,118.150958,-44.647977,160.922,top
SW9,98.454462,-38.964361,167.281,top
